,Season,AQI,City
0,201402,91.04992625530669,兰州
1,201403,76.27050435580495,兰州
2,201404,97.25103029850919,兰州
3,201501,97.21483648260471,兰州
4,201502,93.41651579271348,兰州
5,201503,72.43847188574233,兰州
6,201504,95.95063577092975,兰州
7,201601,105.34170280451171,兰州
8,201602,79.72499705406169,兰州
9,201603,68.42760108638439,兰州
10,201604,129.46735720373542,兰州
11,201701,105.49591974230944,兰州
12,201702,95.37195282167437,兰州
13,201703,67.98403603759496,兰州
14,201704,104.2384255548877,兰州
15,201801,110.98894730285757,兰州
16,201802,95.17997937567291,兰州
17,201803,57.22143525650997,兰州
18,201804,101.60869413565584,兰州
19,201901,79.67976992424748,兰州
20,201902,68.84801110872512,兰州
21,201903,52.234546944334994,兰州
22,201904,79.02488681514019,兰州
23,202001,79.78744750734828,兰州
24,202002,68.30554516648486,兰州
25,202003,49.01000501682758,兰州
26,202004,72.82618872219152,兰州
27,202101,106.3978281740466,兰州
28,202102,70.46770622305336,兰州
0,201402,76.1876554363511,西宁
1,201403,72.8910732822294,西宁
2,201404,86.09298399165873,西宁
3,201501,94.70497155570258,西宁
4,201502,78.29400046791581,西宁
5,201503,65.51759780968473,西宁
6,201504,95.10005841736245,西宁
7,201601,99.34058893085228,西宁
8,201602,65.11917312371648,西宁
9,201603,56.43052278678154,西宁
10,201604,100.04206452466299,西宁
11,201701,99.18892544979656,西宁
12,201702,65.27188013885481,西宁
13,201703,50.243905814978746,西宁
14,201704,93.8084628256788,西宁
15,201801,102.11119529041164,西宁
16,201802,85.79968285506504,西宁
17,201803,46.59138498946168,西宁
18,201804,81.906794341563,西宁
19,201901,73.41945362764086,西宁
20,201902,59.22368274279489,西宁
21,201903,40.62589125715141,西宁
22,201904,64.26049062555022,西宁
23,202001,71.00399047922612,西宁
24,202002,55.228240091423814,西宁
25,202003,41.7462926396168,西宁
26,202004,75.28446184613786,西宁
27,202101,92.95920476301791,西宁
28,202102,53.796303438782395,西宁
0,201402,66.16611919749603,银川
1,201403,72.08934303969367,银川
2,201404,102.9635837056764,银川
3,201501,108.4904709326957,银川
4,201502,79.41517998858777,银川
5,201503,72.14502473869523,银川
6,201504,89.34942489076342,银川
7,201601,98.79329738845142,银川
8,201602,77.96211018320416,银川
9,201603,61.2734261498462,银川
10,201604,108.41767068269662,银川
11,201701,106.88959721194401,银川
12,201702,93.29370021515062,银川
13,201703,69.91785815477961,银川
14,201704,87.72681864392946,银川
15,201801,91.36378139965665,银川
16,201802,89.35631029028075,银川
17,201803,62.34045570470523,银川
18,201804,82.85240248567463,银川
19,201901,76.28841415811088,银川
20,201902,63.916763974817975,银川
21,201903,46.40695547981403,银川
22,201904,64.80031664651878,银川
23,202001,87.00118032381658,银川
24,202002,63.473180613994074,银川
25,202003,48.565165548474596,银川
26,202004,78.86481001380486,银川
27,202101,107.68199648988063,银川
28,202102,71.02225923328656,银川
0,201402,83.21922655645481,乌鲁木齐
1,201403,90.96739026406088,乌鲁木齐
2,201404,116.78300492268323,乌鲁木齐
3,201501,136.34889490561122,乌鲁木齐
4,201502,82.84177670292149,乌鲁木齐
5,201503,74.35664486954856,乌鲁木齐
6,201504,122.8958989214433,乌鲁木齐
7,201601,197.92108210313225,乌鲁木齐
8,201602,59.04510697860442,乌鲁木齐
9,201603,60.60413986499189,乌鲁木齐
10,201604,116.50705423599614,乌鲁木齐
11,201701,207.8576353022816,乌鲁木齐
12,201702,58.71425648113525,乌鲁木齐
13,201703,59.86009181566101,乌鲁木齐
14,201704,99.1881570496928,乌鲁木齐
15,201801,137.0364276612936,乌鲁木齐
16,201802,67.62567617335664,乌鲁木齐
17,201803,60.731678510474126,乌鲁木齐
18,201804,112.3956631762745,乌鲁木齐
19,201901,137.31959389274428,乌鲁木齐
20,201902,53.33793782973804,乌鲁木齐
21,201903,56.201256417097476,乌鲁木齐
22,201904,94.19158679447214,乌鲁木齐
23,202001,112.66872811741379,乌鲁木齐
24,202002,65.7428997194951,乌鲁木齐
25,202003,43.96737807878744,乌鲁木齐
26,202004,86.4636275486673,乌鲁木齐
27,202101,113.83805696745372,乌鲁木齐
28,202102,55.23259830658148,乌鲁木齐
0,201402,87.0265833803877,咸阳
1,201403,63.83394652308653,咸阳
2,201404,108.58123358619196,咸阳
3,201501,106.19113834616115,咸阳
4,201502,70.16564468748597,咸阳
5,201503,60.609280345990015,咸阳
6,201504,118.61713933112564,咸阳
7,201601,133.5130954806077,咸阳
8,201602,95.19962795623344,咸阳
9,201603,77.02549310463054,咸阳
10,201604,168.72505441056998,咸阳
11,201701,175.65959000711086,咸阳
12,201702,92.40596381121193,咸阳
13,201703,75.51178757284998,咸阳
14,201704,127.24847327040527,咸阳
15,201801,160.6868251332791,咸阳
16,201802,97.53874012440686,咸阳
17,201803,61.10479542546691,咸阳
18,201804,129.09069193720688,咸阳
19,201901,159.42332182777486,咸阳
20,201902,80.678017476913,咸阳
21,201903,54.01150328841072,咸阳
22,201904,107.86256295666777,咸阳
23,202001,127.31472281618643,咸阳
24,202002,65.83869863903175,咸阳
25,202003,53.30997914667453,咸阳
26,202004,93.69322345316972,咸阳
27,202101,133.97353611500702,咸阳
28,202102,72.67823814347307,咸阳
0,201402,87.55412175586088,铜川
1,201403,63.07692320311853,铜川
2,201404,110.70924537796999,铜川
3,201501,118.64674958612369,铜川
4,201502,71.25621469240673,铜川
5,201503,64.4256008551004,铜川
6,201504,103.3595626183825,铜川
7,201601,123.10878999649736,铜川
8,201602,67.84596035042183,铜川
9,201603,61.69805315068288,铜川
