Season,AQI,City
201402,99.03690298182585,北京
201403,108.51979729263857,北京
201404,121.4422445378383,北京
201501,131.22996326357756,北京
201502,95.36589005731199,北京
201503,77.5157792771294,北京
201504,142.46328477749438,北京
201601,95.79515662675573,北京
201602,92.34416498074373,北京
201603,82.91999982868673,北京
201604,137.11284131633224,北京
201701,109.66055417941149,北京
201702,87.26247033479832,北京
201703,76.6190737716217,北京
201704,74.21305303249552,北京
201801,89.86189168280684,北京
201802,94.66039924537964,北京
201803,60.14918172662855,北京
201804,82.79286804468302,北京
201901,80.22066955368147,北京
201902,75.51665124408056,北京
201903,57.397485151768684,北京
201904,69.38783313064704,北京
202001,75.85006557683072,北京
202002,65.00278840296372,北京
202003,52.395248818243196,北京
202004,54.9468707843591,北京
202101,100.12505816024401,北京
202102,57.5604332242481,北京
201402,106.14636473429951,天津
201403,92.20039878101367,天津
201404,138.5211206140552,天津
201501,124.9873060060297,天津
201502,88.59381749032963,天津
201503,74.42815964993152,天津
201504,122.50185909156305,天津
201601,102.40129629711048,天津
201602,86.42108360372345,天津
201603,71.25565731473867,天津
201604,133.49898887563242,天津
201701,118.60240105004624,天津
201702,94.8728730788503,天津
201703,74.69762000332359,天津
201704,88.04358474884422,天津
201801,95.0099561563756,天津
201802,86.94946600052343,天津
201803,60.87015600018017,天津
201804,93.0857055386338,天津
201901,101.07286822087838,天津
201902,80.54955275618742,天津
201903,64.45481148221681,天津
201904,84.81812137978079,天津
202001,94.84066100859613,天津
202002,69.76700366214743,天津
202003,58.3152456536776,天津
202004,69.69946100792876,天津
202101,98.57792996692291,天津
202102,64.6711703288141,天津
201402,129.44603940544158,石家庄
201403,112.0170797019882,石家庄
201404,175.1745806492089,石家庄
201501,160.37525362571822,石家庄
201502,96.44254005664033,石家庄
201503,87.24656942785137,石家庄
201504,145.79762271492305,石家庄
201601,132.43383550160402,石家庄
201602,88.23170041342631,石家庄
201603,89.37514895109565,石家庄
201604,222.53249946352958,石家庄
201701,179.47312280870617,石家庄
201702,105.13982717663832,石家庄
201703,93.47474865251282,石家庄
201704,118.4620262769281,石家庄
201801,144.4842005642837,石家庄
201802,99.59072062215034,石家庄
201803,66.25201115696962,石家庄
201804,125.59914524673971,石家庄
201901,149.25160895672815,石家庄
201902,83.42126134964253,石家庄
201903,65.95176739871091,石家庄
201904,103.4932437007915,石家庄
202001,127.70927985335074,石家庄
202002,72.42971404082905,石家庄
202003,60.35620904177227,石家庄
202004,99.38993312822788,石家庄
202101,126.45595173163548,石家庄
202102,80.37539738195419,石家庄
201402,118.80601781270259,唐山
201403,107.29816614120293,唐山
201404,146.686815160201,唐山
201501,140.82752542708192,唐山
201502,118.47820617862436,唐山
201503,81.69736664890904,唐山
201504,137.77742223864024,唐山
201601,107.70882825937962,唐山
201602,101.48995023797224,唐山
201603,76.78621178961289,唐山
201604,145.37362012186819,唐山
201701,127.5987743224181,唐山
201702,99.61632641220032,唐山
201703,78.26227426820577,唐山
201704,99.8014211692157,唐山
201801,108.08747989027306,唐山
201802,95.71620521456451,唐山
201803,65.7689834584,唐山
201804,100.90364524570192,唐山
201901,104.45910694806206,唐山
201902,81.43894926133743,唐山
201903,66.38017253504475,唐山
201904,90.27939400525766,唐山
202001,96.6196152924023,唐山
202002,72.95927354423145,唐山
202003,62.79800700715479,唐山
202004,72.84059903224235,唐山
202101,108.30324630631435,唐山
202102,69.96912692847125,唐山
201402,71.50353867348433,秦皇岛
201403,63.05926486086343,秦皇岛
201404,108.96645996963362,秦皇岛
201501,108.6396403695001,秦皇岛
201502,77.42648432051466,秦皇岛
201503,56.37663637588491,秦皇岛
201504,75.65944354708363,秦皇岛
201601,75.79525162882878,秦皇岛
201602,73.51488525558506,秦皇岛
201603,57.987312296814395,秦皇岛
201604,90.27263916589615,秦皇岛
201701,92.2938298155807,秦皇岛
201702,74.15911054832348,秦皇岛
201703,56.33070586820586,秦皇岛
201704,67.19376665034098,秦皇岛
201801,78.94574973514416,秦皇岛
201802,68.57066853249087,秦皇岛
201803,47.572391640175425,秦皇岛
201804,74.88713087657827,秦皇岛
201901,87.24324478505754,秦皇岛
201902,63.5781076787056,秦皇岛
201903,51.23127231417757,秦皇岛
201904,69.33254641581854,秦皇岛
202001,70.07279805774478,秦皇岛
202002,59.11609072255988,秦皇岛
202003,44.50487254250634,秦皇岛
202004,62.23743801974869,秦皇岛
202101,89.22264180056266,秦皇岛
202102,57.72005999688328,秦皇岛
201402,117.77715509128552,邯郸
201403,117.32978683868492,邯郸
201404,171.91989589590165,邯郸
201501,158.35937102693939,邯郸
201502,105.50124333204883,邯郸
201503,100.89181755751736,邯郸
201504,149.92335101471883,邯郸
201601,125.2959066654356,邯郸
201602,95.8316842465378,邯郸
201603,79.57787325655487,邯郸
201604,170.313218082768,邯郸
201701,154.13107993769586,邯郸
201702,114.53262183774723,邯郸
201703,95.26486943051924,邯郸
201704,129.63221168473623,邯郸
201801,144.69999021113819,邯郸
201802,96.2332802991189,邯郸
201803,68.04777425198671,邯郸
201804,124.09784084852915,邯郸
201901,148.34767771382425,邯郸
201902,86.84174088993717,邯郸
201903,69.71368460362271,邯郸
201904,107.25339986865602,邯郸
202001,119.13705434415579,邯郸
202002,71.6795763856423,邯郸
202003,61.80089995324918,邯郸
202004,109.24148790775135,邯郸
202101,111.95092444177295,邯郸
202102,80.70507246376809,邯郸
201402,127.81592153418241,保定
201403,122.68991914325493,保定
201404,214.65357581179353,保定
201501,205.7221010006564,保定
201502,102.56881562850495,保定
201503,94.02315736517971,保定
201504,169.27137619201358,保定
201601,139.12206836464466,保定
201602,100.6195554827124,保定
201603,84.99506047170844,保定
