,Season,AQI,City
0,201402,130.43686385072257,南京
1,201403,76.2818621728478,南京
2,201404,103.27587754607448,南京
3,201501,105.37598677113752,南京
4,201502,76.4097539940546,南京
5,201503,58.27098497654682,南京
6,201504,97.88190446099782,南京
7,201601,106.06554500120414,南京
8,201602,68.88168281013446,南京
9,201603,56.760426129763424,南京
10,201604,68.01587206663436,南京
11,201701,81.33101503156321,南京
12,201702,70.18561885001638,南京
13,201703,45.03513167416278,南京
14,201704,79.89581441038312,南京
15,201801,92.90635652344154,南京
16,201802,69.02918007445665,南京
17,201803,48.36688611901598,南京
18,201804,71.38200302632279,南京
19,201901,87.75956304681759,南京
20,201902,61.21740853712121,南京
21,201903,46.488087270004655,南京
22,201904,70.87053759810368,南京
23,202001,60.56245805044179,南京
24,202002,53.2936470832684,南京
25,202003,42.548307620383355,南京
26,202004,56.693947323476294,南京
27,202101,68.89102526360314,南京
28,202102,55.01915614773257,南京
0,201402,101.31819441142383,苏州
1,201403,75.91435154137564,苏州
2,201404,95.97573913342356,苏州
3,201501,105.04906282486924,苏州
4,201502,74.85027083124751,苏州
5,201503,61.625671020488674,苏州
6,201504,90.99455031838973,苏州
7,201601,92.2338503890772,苏州
8,201602,64.74291421884834,苏州
9,201603,52.37395536389224,苏州
10,201604,73.2279169246886,苏州
11,201701,81.12713565187894,苏州
12,201702,65.92641433923507,苏州
13,201703,47.86179443705741,苏州
14,201704,73.4857963779247,苏州
15,201801,83.14055295446838,苏州
16,201802,70.55876817659995,苏州
17,201803,42.480480456258384,苏州
18,201804,67.92107772752935,苏州
19,201901,80.98298869783792,苏州
20,201902,57.99799275023236,苏州
21,201903,43.54412873009269,苏州
22,201904,68.390281430019,苏州
23,202001,61.220392549164295,苏州
24,202002,54.75570230117915,苏州
25,202003,41.482646356033456,苏州
26,202004,51.832966154454006,苏州
27,202101,62.53345338129101,苏州
28,202102,50.858789803127095,苏州
0,201402,100.66720183198444,南通
1,201403,65.56362885011201,南通
2,201404,93.03178650651449,南通
3,201501,105.21416637995527,南通
4,201502,74.23326548584694,南通
5,201503,58.95934756967585,南通
6,201504,92.90328686610613,南通
7,201601,91.4761206273696,南通
8,201602,69.15010636156065,南通
9,201603,50.99326510264449,南通
10,201604,66.24801694689116,南通
11,201701,77.02591300477769,南通
12,201702,64.8268530378845,南通
13,201703,54.034865538553,南通
14,201704,61.98260925220953,南通
15,201801,72.85902954566583,南通
16,201802,67.50064971017423,南通
17,201803,45.50049248709375,南通
18,201804,70.67132884039209,南通
19,201901,76.94783274034674,南通
20,201902,54.42491931453933,南通
21,201903,40.95319671190529,南通
22,201904,66.82829865155473,南通
23,202001,61.73241228119454,南通
24,202002,53.66590826450573,南通
25,202003,42.377543244506775,南通
26,202004,52.70837262684503,南通
27,202101,66.21808050787713,南通
28,202102,53.10642109500805,南通
0,201402,101.95370205679991,连云港
1,201403,60.55220826781136,连云港
2,201404,101.79072013805143,连云港
3,201501,110.2822418190717,连云港
4,201502,74.14653847150585,连云港
5,201503,60.852193720381564,连云港
6,201504,103.55423277497448,连云港
7,201601,103.93543702477301,连云港
8,201602,77.45076639559801,连云港
9,201603,52.40077456243304,连云港
10,201604,80.97938215083134,连云港
11,201701,84.0222419502852,连云港
12,201702,72.38732039417832,连云港
13,201703,49.983267378475425,连云港
14,201704,76.71906320265367,连云港
15,201801,86.34261155373791,连云港
16,201802,72.72293040867042,连云港
17,201803,42.05998150740128,连云港
18,201804,74.40569960090977,连云港
19,201901,95.39767648686829,连云港
20,201902,57.481815778768606,连云港
21,201903,45.00041540624621,连云港
22,201904,73.02366065403636,连云港
23,202001,71.1627482452888,连云港
24,202002,57.513135031946405,连云港
25,202003,41.04166820452253,连云港
26,202004,61.531974234317616,连云港
27,202101,83.96046439146019,连云港
28,202102,59.738147368967844,连云港
0,201402,111.82224222034004,徐州
1,201403,58.38698732787889,徐州
2,201404,103.62194213051504,徐州
3,201501,126.13468430886034,徐州
4,201502,91.56605736806915,徐州
5,201503,61.62097733499183,徐州
6,201504,109.47620267809091,徐州
7,201601,117.20309108642158,徐州
8,201602,81.23261469552061,徐州
9,201603,64.30424239025223,徐州
10,201604,110.8814866508754,徐州
11,201701,123.5124653827354,徐州
12,201702,99.71608322193256,徐州
13,201703,65.9980547533259,徐州
14,201704,119.8437638675542,徐州
15,201801,141.2935527413396,徐州
16,201802,86.48000696755614,徐州
17,201803,55.60150373445792,徐州
18,201804,106.45743240109014,徐州
19,201901,120.97903714059044,徐州
20,201902,74.49088195150348,徐州
21,201903,55.281381671795685,徐州
22,201904,99.5441842157102,徐州
23,202001,96.48572765218164,徐州
24,202002,66.775749961041,徐州
25,202003,51.420155890739785,徐州
26,202004,88.31130576845281,徐州
27,202101,96.15572655780404,徐州
28,202102,72.61785296867694,徐州
0,201402,134.5203371447393,扬州
1,201403,70.27831121209483,扬州
2,201404,82.00775172867425,扬州
3,201501,99.08917733401606,扬州
4,201502,80.82106583931214,扬州
5,201503,63.475918599698666,扬州
6,201504,91.16499856009987,扬州
7,201601,102.51253802730265,扬州
8,201602,74.05827862040644,扬州
9,201603,52.98678980123028,扬州
10,201604,84.49750846745707,扬州
11,201701,104.00351626262324,扬州
12,201702,85.34076634634755,扬州
13,201703,57.97428016895058,扬州
14,201704,89.79316324940447,扬州
15,201801,99.64051546869331,扬州
16,201802,82.72516868692759,扬州
17,201803,51.23287758897718,扬州
18,201804,76.96057551306295,扬州
19,201901,94.9501736332469,扬州
20,201902,64.39219615696345,扬州
21,201903,47.00590573962604,扬州
