,Season,AQI,City
0,201402,122.08935177342785,武汉
1,201403,71.54117629670353,武汉
2,201404,117.69556454195968,武汉
3,201501,139.0446981038934,武汉
4,201502,84.60888600867894,武汉
5,201503,67.77878335390709,武汉
6,201504,108.04526296728187,武汉
7,201601,123.87811446183065,武汉
8,201602,65.91089663525766,武汉
9,201603,64.37991030254355,武汉
10,201604,86.9778758895877,武汉
11,201701,103.43461735122186,武汉
12,201702,72.81925865200655,武汉
13,201703,51.10879261964465,武汉
14,201704,95.7496520588912,武汉
15,201801,94.8433171129602,武汉
16,201802,72.82274547352092,武汉
17,201803,48.22631090349475,武汉
18,201804,80.89884081335282,武汉
19,201901,94.7338625561364,武汉
20,201902,59.50839344907311,武汉
21,201903,53.888408519794254,武汉
22,201904,72.96783339951659,武汉
23,202001,62.62308262622941,武汉
24,202002,49.5464677159628,武汉
25,202003,43.2214914672922,武汉
26,202004,68.78199007371518,武汉
27,202101,78.00435937465214,武汉
28,202102,55.84025115578413,武汉
0,201402,101.38540286404415,长沙
1,201403,71.18414475103242,长沙
2,201404,112.05956622398789,长沙
3,201501,118.708543093899,长沙
4,201502,69.08725297853714,长沙
5,201503,63.2789104778162,长沙
6,201504,87.05107570502268,长沙
7,201601,101.07113830670198,长沙
8,201602,58.552447814402676,长沙
9,201603,61.9557723106461,长沙
10,201604,82.90339876695022,长沙
11,201701,95.34360508443922,长沙
12,201702,58.72932456575928,长沙
13,201703,48.780182707099506,长沙
14,201704,99.4901178602967,长沙
15,201801,91.7435803154829,长沙
16,201802,60.02558301798268,长沙
17,201803,47.083977452427256,长沙
18,201804,77.95979856690762,长沙
19,201901,89.70758343553752,长沙
20,201902,51.682379648066146,长沙
21,201903,52.61146256918309,长沙
22,201904,84.56102667372596,长沙
23,202001,63.91807807402913,长沙
24,202002,51.495197652070004,长沙
25,202003,38.632273388395404,长沙
26,202004,86.25857905059635,长沙
27,202101,82.81063388514531,长沙
28,202102,52.219860007272345,长沙
0,201402,100.01961940699354,湘潭
1,201403,66.59788958739139,湘潭
2,201404,105.42096836311909,湘潭
3,201501,108.22665206125237,湘潭
4,201502,64.70792532332885,湘潭
5,201503,63.166181822133424,湘潭
6,201504,86.20502391241762,湘潭
7,201601,98.62498760394972,湘潭
8,201602,56.515790737357435,湘潭
9,201603,60.99001074635717,湘潭
10,201604,82.0545156018927,湘潭
11,201701,92.16698103283535,湘潭
12,201702,58.2169622636055,湘潭
13,201703,47.11996619167026,湘潭
14,201704,103.98188912882696,湘潭
15,201801,95.62241805005395,湘潭
16,201802,60.20043935005496,湘潭
17,201803,45.976414755476455,湘潭
18,201804,82.33651158332086,湘潭
19,201901,94.11366482395584,湘潭
20,201902,49.748112307274475,湘潭
21,201903,51.9518162627161,湘潭
22,201904,86.57574923361078,湘潭
23,202001,62.26259622297616,湘潭
24,202002,47.91275323359826,湘潭
25,202003,37.10180406212664,湘潭
26,202004,86.873913240241,湘潭
27,202101,83.66505459827687,湘潭
28,202102,51.52871409277441,湘潭
0,201402,97.72522089424265,株洲
1,201403,69.08386934713276,株洲
2,201404,106.57849911170959,株洲
3,201501,113.79653518252049,株洲
4,201502,64.00158541240931,株洲
5,201503,55.17457322308172,株洲
6,201504,83.54769914272332,株洲
7,201601,102.3407688262418,株洲
8,201602,55.35640108098261,株洲
9,201603,54.558413693599526,株洲
10,201604,85.05027854022323,株洲
11,201701,105.16394038422928,株洲
12,201702,59.73542253060858,株洲
13,201703,48.69731024542268,株洲
14,201704,88.21283495477046,株洲
15,201801,84.56120047949055,株洲
16,201802,56.6513737308072,株洲
17,201803,45.14459742203921,株洲
18,201804,77.630282536927,株洲
19,201901,89.43224255680427,株洲
20,201902,52.0137725663593,株洲
21,201903,49.79354646550925,株洲
22,201904,84.7672910419155,株洲
23,202001,60.3100372304887,株洲
24,202002,47.44474118227626,株洲
25,202003,34.90895616495657,株洲
26,202004,79.3715027200476,株洲
27,202101,81.82252290233535,株洲
28,202102,45.21928925770089,株洲
0,201402,90.36497503502936,洛阳
1,201403,67.80326943180921,洛阳
2,201404,104.59932246645178,洛阳
3,201501,138.70114905398742,洛阳
4,201502,97.46035581119585,洛阳
5,201503,73.54686888346258,洛阳
6,201504,105.25111108636612,洛阳
7,201601,142.67471738226683,洛阳
8,201602,83.76083190044044,洛阳
9,201603,64.95962260948237,洛阳
10,201604,137.51597657149162,洛阳
11,201701,156.72436018519264,洛阳
12,201702,98.19596181673258,洛阳
13,201703,77.52220473845067,洛阳
14,201704,99.97562575599041,洛阳
15,201801,126.57560271069626,洛阳
16,201802,85.27619360056637,洛阳
17,201803,63.44354171396801,洛阳
18,201804,107.88278520410404,洛阳
19,201901,146.24672206689212,洛阳
20,201902,78.76826060593278,洛阳
21,201903,58.777058343819164,洛阳
22,201904,109.45693608898284,洛阳
23,202001,106.88498285789865,洛阳
24,202002,66.26807828164772,洛阳
25,202003,52.89673253474188,洛阳
26,202004,105.79501222289908,洛阳
27,202101,119.95323025891052,洛阳
28,202102,78.26946911848734,洛阳
0,201402,111.61131028190808,安阳
1,201403,94.37446059626028,安阳
2,201404,136.85842957287085,安阳
3,201501,176.3411823023867,安阳
4,201502,104.22137561096051,安阳
5,201503,83.58197122164654,安阳
6,201504,146.68592609152068,安阳
7,201601,140.09964757357395,安阳
8,201602,90.15926010051331,安阳
9,201603,77.04446746373466,安阳
10,201604,167.42101089387592,安阳
11,201701,170.11951986638618,安阳
12,201702,108.71934490798031,安阳
13,201703,82.69415756161312,安阳
14,201704,117.5741451278969,安阳
